port_name,latitude,longitude,geo_score,socio_score,coupling_C,comprehensive_T,coordination_D,level,alpha,beta,buffer_m,elevation,slope,terrain_ruggedness_tri,evi_vegetation,coastal_water_occur,lu_forest_ratio,lu_grass_ratio,lu_cropland_ratio,lu_water_ratio,population_density_2020,urban_ratio,economic_activity_proxy,port_accessibility,infra_network_density
Yantian,22.574167869362384,114.26701955945425,0.22918495805324,0.46562923725170047,0.9403174362925019,0.34740709765247024,0.5715531046319228,Barely Coordination,0.5,0.5,100000,35.392457353451334,1.453113118949458,21.08804909164132,0.8797101891280115,96.02711749827392,0.3575200091525252,0.009858284866284485,0.042665819435124534,0.44179862777786333,2236.4508436264737,0.13970632617791406,7.617977056050434,23.319365828718745,2236.6845878197596
Kakinada,16.97777755133619,82.27461936836987,0.33471673818580244,0.0769689497102717,0.7797595849524401,0.20584284394803706,0.4006344101077081,Near Disorder,0.5,0.5,100000,-194.43120755047107,1.6958855078368222,24.74385657101223,1.0636115519716953,95.87307344308996,0.41080796030350747,0.016844235347717815,0.23230347196387138,0.3121606379603257,445.45381813278357,0.013166437263462618,0.6945115428952766,44.337775922305056,445.47214859853756
Tuticorin,8.758334415923615,78.18704169649497,0.40148955034849937,0.06793089040649611,0.7036209718808645,0.23471022037749772,0.4063828655004869,Near Disorder,0.5,0.5,100000,-178.4258243652465,0.925547014456835,13.59628320247278,0.6555665356105461,97.82082938943188,0.1297574076034607,0.11283320006225281,0.3086717597523288,0.31124952655834864,388.7738188735373,0.02052618577517014,0.6657839050374651,25.115648269592104,388.80324320859756
Galle,6.033333171152304,80.2249712736482,0.3424080750262539,0.06458258894823056,0.7307608511861721,0.20349533198724223,0.3856247165514806,Mild Disorder,0.5,0.5,100000,-1479.3707946638974,3.1928331913432775,47.462718290362936,1.091384712200781,99.31572337208115,0.5452768363170997,0.011476096154116603,0.02119622540678133,0.41552459943898207,525.2439715960846,0.005809013718220969,0.47713943690723815,34.95292310152567,525.2536574530465
Kemaman,4.24944304011496,103.45918865824481,0.25010096717808666,0.17357439064752342,0.9835519434653989,0.21183767891280503,0.45645740304423643,Near Disorder,0.5,0.5,100000,69.52761625609085,1.4126481691090746,21.239678902122844,1.1413961308241856,99.13296521481178,0.5864715383420626,0.015304394720229634,0.0013598721720158306,0.3854742654190506,63.56123261994391,0.008371713058972458,0.7720746126033015,248.8434524426622,63.57432427964496
Bangkok,13.695834584989488,100.58492346481044,0.3126176294430041,0.30490798018043835,0.9999220624131125,0.30876280481172125,0.5556426374782569,Barely Coordination,0.5,0.5,100000,10.484956856514495,0.22895295230121634,3.3940747261400084,1.2205905893515503,89.59515995985733,0.23165662607340262,0.048928361558776334,0.34319769841750597,0.24496853558878762,952.8396901956313,0.12176655324033166,5.164409849943218,22.542606862620115,952.9917425213932
Laem Chabang,13.073888088256963,100.89092927460317,0.21238046653004466,0.27620621371175086,0.9914307389541137,0.24429334012089776,0.4921381175215249,Near Disorder,0.5,0.5,100000,16.82425852222307,0.4350325057598483,6.408890499118063,0.8891838659790063,96.97275463306528,0.3067147983872596,0.028144829110434505,0.1051095783024558,0.45411529135627476,1138.1003057774656,0.09970527421697406,4.037069330554215,31.03012053342046,1138.2718252257546
Sriracha,13.17139079189161,100.91861137394295,0.2248281893014346,0.29047435695004176,0.9918522618184044,0.2576512731257382,0.5055215109272353,Barely Coordination,0.5,0.5,100000,20.21012583814533,0.44827132902551736,6.609500781238522,0.9974494638599605,96.39371516677286,0.32413340515220496,0.029592385281606706,0.12316909827890445,0.4107934227126649,1121.8548379243618,0.10621987123750098,4.384751928560552,33.089479047897726,1122.0237483885544
Haimen,28.690279792470857,121.44181571377291,0.3291759124665132,0.13855248501721107,0.9131822074676237,0.23386419874186212,0.46212620057159787,Near Disorder,0.5,0.5,100000,137.1888157246759,2.757594725125269,38.88943128859686,0.982107969077216,96.4381439995141,0.44790824316459754,0.009584283567075686,0.0660581234522222,0.4222375476496468,460.59458410021966,0.050787313926587904,1.822236419565502,41.52522969086154,460.67609306465715
Qinhuangdao,39.906666909500196,119.58598244633926,0.46098470102658007,0.1277398595686802,0.8243740545047018,0.2943622802976301,0.4926100146182646,Near Disorder,0.5,0.5,100000,118.31183338192945,1.3615878862844493,17.920247497081835,0.611658395725244,96.5424133730842,0.20977316351234587,0.12669816810037843,0.33275285500337637,0.2619745204940477,238.19905463590413,0.06369925394494384,1.2665926465676625,47.70278950750783,238.28325052708198
Yingkou,40.69583415483799,122.23509870938304,0.38610037495691474,0.1322309114302674,0.8718447955999468,0.2591656431935911,0.4753443143834216,Near Disorder,0.5,0.5,100000,87.21523674444185,1.2618947125469424,16.459159545911746,0.798240785428968,91.63096503441209,0.23945166608370452,0.03813940033916793,0.4327196758840994,0.21823004818969532,289.175825362259,0.06393588963614874,1.579930339726602,37.76610677963051,289.25466314986994
Alleppey,9.491945721236531,76.31042455905123,0.2654333944309615,0.0873755846774342,0.8633028882181627,0.17640448955419785,0.39024416116937577,Mild Disorder,0.5,0.5,100000,-14.654217587630173,1.602554593900513,23.796840754442936,1.1647876495236895,97.59929734015297,0.6027372656277723,0.013199909376526885,0.019427816492926187,0.34769769974696396,824.0611264512479,0.010301596010383485,0.6524340735504816,24.9637803871,824.0760509217786
Keelung,25.220760281209902,121.72583815537212,0.2671283911048313,0.1722142713799034,0.9763852532111674,0.21967133124236732,0.4631240097191173,Near Disorder,0.5,0.5,100000,-82.4296864374056,2.5604925782850354,36.343183062089224,0.29641073995613626,97.70755370786436,0.31293776239740606,0.001921191515338239,0.02394342984960978,0.6230345357174304,1196.399690846795,0.03750080475561702,1.8585614830603645,33.98327595198371,1196.4970966860726
Mongla,22.486943393655928,89.58598441065239,0.26269786189903555,0.08503942014197678,0.8596410665608122,0.17386864102050617,0.386606549360389,Mild Disorder,0.5,0.5,100000,5.111528494691464,0.08122228549947699,1.2262420373426335,1.757329323758913,84.6488528742753,0.2540176307927631,0.001170951547715036,0.3637292310870631,0.21989033612776918,681.7755860027495,0.002255554497493815,0.5384579033776508,54.1937552379981,681.7782744919169
Lianyungang,34.74527973564186,119.40847901070475,0.31968704084628374,0.15932131231258617,0.9422938615679433,0.23950417657943496,0.47506138067694614,Near Disorder,0.5,0.5,100000,18.269156857591877,0.32042701832329673,4.355860501190138,0.6338119947182378,94.49063082897379,0.03239529166207637,0.011751344223551126,0.5406564233303661,0.32363799337181826,416.83488226213893,0.08429878976452371,1.8354083484418,25.34736728479897,416.95434344782177
Zhanjiang,21.16972048336696,110.40636108108819,0.2245882845716124,0.11326183178666693,0.9441505755662816,0.16892505817913966,0.39936285619396594,Mild Disorder,0.5,0.5,100000,17.310281023907724,0.35764506034041077,5.194748294207757,0.9264357724600385,96.04161499424998,0.41468158769231717,0.020358536258097484,0.1456352986716177,0.38211807688335586,592.067417388443,0.03140379356054314,1.4651491237380432,29.869834749255034,592.1156919341979
Zhoushan,30.00333344327485,122.10265003079253,0.175586954949633,0.19488165258366955,0.9986428181052784,0.1852343037666513,0.43009639282758216,Near Disorder,0.5,0.5,100000,12.868532427087091,0.8911602633253033,12.611126020287834,0.3205794331931146,97.38353378163512,0.16660254121471046,0.007449522811929085,0.057135422536611885,0.6997015739582317,919.5469003151059,0.06283177522296714,2.9915987119424523,20.454507825604626,919.74471184299
Lhokseumawe,5.166666749505616,97.14287201603871,0.36690683153004194,0.14966594838196562,0.907272772385004,0.2582863899560038,0.4840828535330474,Near Disorder,0.5,0.5,100000,59.51490023386553,3.0538149090147817,44.825462762595954,1.4955476181111123,98.38876188066575,0.6070738588055489,0.012412578935902719,0.0330381794702118,0.34355906252795676,104.86021281271697,0.0024379900308743787,0.3657257613745981,229.48225843056358,104.86365895864348
Panjang,-5.460276258369761,105.30706688939908,0.3069720009917361,0.08531593712470091,0.8250675488548677,0.19614396905821851,0.4022835116848929,Near Disorder,0.5,0.5,100000,4.096508322628277,1.6014502308730145,23.653702187395332,1.8257241795936696,98.72498888471026,0.45495871441327307,0.020202759702061507,0.09573506428652896,0.4099874283436137,351.5040767769381,0.01689428711464303,0.807196082047211,58.35525633521927,351.5321041535826
Tanjung Priok,-6.101387971429996,106.8904000323556,0.25120178390510994,0.33966957390362706,0.9887277881197262,0.2954356789043685,0.5404678208133818,Barely Coordination,0.5,0.5,100000,125.49676105145923,1.2049889503189732,17.71644911646819,1.1304624287420084,98.04824736141389,0.32047407364099806,0.00938699825334996,0.12545597930329327,0.4396831713690242,2498.5951152686494,0.10123195632112583,3.000946617495887,15.984144878713616,2498.7693583559726
Mangalore,12.926942872141709,74.80742212157254,0.26266973327381427,0.04373403606288872,0.6996014287137319,0.1532018846683515,0.32738396019905297,Mild Disorder,0.5,0.5,100000,95.0762346348423,1.4518787576296055,21.57633877257332,1.106788280133585,99.19949851274646,0.6562935238476355,0.019342466007484897,0.004075927524958279,0.3164227637056986,307.67274099065406,0.003683421553553258,0.41410444901741095,31.17550580342676,307.67797092377526
Porbandar,21.639446647438003,69.5873977688614,0.30832293452564424,0.057020036243689384,0.7258483593552757,0.18267148538466682,0.3641315668373886,Mild Disorder,0.5,0.5,100000,-16.45450896104242,0.3934361610311539,5.571718128434932,0.43825520508648813,95.91857379218312,0.019738063095179687,0.009369118763622892,0.5197753945110183,0.3577688645489881,217.7435301208095,0.011198276092649518,0.7820019229691296,37.55243560472183,217.76047698932098
Bassein,16.779722118946335,94.72338162084318,0.33481693567551063,0.07222299203218116,0.7640722549456913,0.2035199638538459,0.39433990123784535,Mild Disorder,0.5,0.5,100000,-84.20712552335048,0.7888316157872199,11.405999168163186,1.1004697249703794,93.50405026939364,0.27485366952717805,0.004673915072909342,0.44445930454972143,0.26038382592596077,138.03822427932565,4.323407857055557E-4,0.2717438539459706,106.71553774298432,138.0387656874819
Malacca,2.2488896479917337,102.12338021476506,0.22447364686616175,0.1281604058731484,0.9619784989372815,0.17631702636965507,0.4118412174177882,Near Disorder,0.5,0.5,100000,36.291300173332836,0.8838462348150928,13.300971198697933,1.4937580845972265,98.58291761869305,0.5294305262410652,0.018743332376828317,0.002728038961415521,0.41257215030659816,246.41468152685138,0.02481918055848561,2.3578301865717384,71.70228453894073,246.45609547666362
Port Dickson,2.53610926504629,101.7886354986829,0.23189582347789967,0.21144194046568465,0.9989351621537116,0.22166888197179216,0.47056651023731405,Near Disorder,0.5,0.5,100000,60.60170740803221,1.2060423305125814,18.03273246348812,1.423471327610465,98.23520871493078,0.4934372679468123,0.013512886555697176,0.0022825523738922906,0.424078941894197,551.9828658696533,0.05086391550080623,3.793519355777855,79.38960295378233,552.0696181841129
Songkhla,7.228613044932686,100.56966888010659,0.25643542216004406,0.0683655252700951,0.8153053519759975,0.16240047371506958,0.36387631879985477,Mild Disorder,0.5,0.5,100000,43.54634978881028,1.0039532696023505,15.24687998214697,1.4311728454352644,97.78570127933732,0.5731978339958187,0.025561576979920404,0.04062508771779948,0.33056017959723644,163.5683004007273,0.008372702098758953,0.9554423227092386,60.44248055456405,163.58038401084858
Hai Phong,20.867223986103305,106.6751458472026,0.30078356387787436,0.17192276480998725,0.9621268232895948,0.2363531643439308,0.47686656329068583,Near Disorder,0.5,0.5,100000,55.63893421148667,1.0952625830753633,16.170647707292606,1.1409150772341978,92.11908368936521,0.36741444177198185,0.015792786577339457,0.24880858682724713,0.2843569354199288,739.2555544729506,0.07158434360262293,1.8720914966618305,28.989238609142962,739.3502511947985
Guangzhou,22.640278501580774,113.67108299916649,0.23213011295298663,0.649345614008427,0.880893357238582,0.44073786348070687,0.6230915311763431,Primary Coordination,0.5,0.5,100000,36.89675036199599,1.3423810065879338,19.544449158986197,1.019431850141257,93.64076511140583,0.3535725957697312,0.01337064726747444,0.06374146427634544,0.33251314689724476,2675.6885463975286,0.22528886554017039,11.017668721203973,12.730594501924589,2676.0031379466095
Jiangyin,31.931943699001785,120.22126165522162,0.31502416000194206,0.4827281793036953,0.9776539653980207,0.3988761696528187,0.6244700705108707,Primary Coordination,0.5,0.5,100000,7.8581311622370515,0.20944969835254945,2.9831112603123118,1.4793094285663777,87.19006246751059,0.10204273917054359,0.01360019360489822,0.5015886018715563,0.13382748033514985,1038.750252266198,0.24455417411864147,7.7016801819726926,12.30007842899284,1039.0260956106658
Sanya,18.23972098586559,109.50053037488908,0.2723165916966806,0.1112106735183304,0.9074945775604396,0.1917636326075055,0.4171623865649965,Near Disorder,0.5,0.5,100000,84.77254068780599,1.8988766135131705,27.51867968694405,0.8800478620679634,97.3581721435023,0.5444890261340961,0.01087790740723126,0.02523009057027323,0.40814384560995937,158.78422625852778,0.010212818973410078,0.6860447379251102,137.0770787398819,158.80025145829035
Nunukan,4.145554903771779,117.65494643963928,0.300871104746669,0.1644735156857116,0.9560784429641463,0.2326723102161903,0.4716492129457719,Near Disorder,0.5,0.5,100000,67.37882436971171,2.088353973088887,31.01156886508916,2.2319064160388606,97.27487950203295,0.6041801413796131,0.006255963722560678,3.6599462398912737E-4,0.30553531313156085,51.76054584286115,0.0018299731199456367,0.32045894584360735,262.0447525456374,51.76306883293456
Ratnagiri,17.001945879045866,73.2717924416858,0.46978582322152806,0.036523907628191674,0.5174308192773086,0.2531548654248599,0.3619255854741718,Mild Disorder,0.5,0.5,100000,157.4731603941671,1.6561639623335134,24.276557978529013,0.6560384699845627,98.33372122249527,0.43915591372059914,0.1795538793218315,0.059240471583974226,0.3149765420550784,170.32125800509442,0.0019437249164548052,0.3790379266978831,38.922922617401795,170.324056707364
Gwadar,25.11222130246798,62.33863404626818,0.15021980214080682,0.10591452554859705,0.9849259118845543,0.12806716384470193,0.3551572442344541,Mild Disorder,0.5,0.5,100000,-527.8604290628659,1.8321015814063548,26.56216771528399,0.09643711874240012,97.93363148934888,1.7028411905263934E-4,0.0,0.004427387095368623,0.3540752745956629,14.056432594664358,4.257102976315984E-4,0.30228101248379563,174.1841665072859,14.05688468336074
Bombay,18.829998946916536,72.82999808661354,0.40676776241765317,0.19539466607565137,0.9363666910859981,0.30108121424665224,0.5309636713865575,Barely Coordination,0.5,0.5,100000,91.47642803291008,1.403388141522164,20.62058995582087,0.6163544722089572,97.73370677129692,0.30909186980115017,0.12041784655502051,0.16631409476065862,0.34997010600263656,1695.3092039862577,0.03371166215892257,1.8504852589391685,22.154373984991885,1695.3595995500739
Jawaharlal Nehru Port,18.949997815365823,72.92999788683812,0.44460374061901703,0.1892628365678887,0.9152745180440506,0.3169332885934529,0.538591647697482,Barely Coordination,0.5,0.5,100000,128.84944595187773,1.5618221346788317,23.031087321500884,0.6706947680874827,97.56556995703306,0.3084025793247199,0.13603489909059596,0.18626158713360452,0.309475586256498,1521.3690859559829,0.035674414747529894,2.014411566832935,22.679226353878576,1521.4194344438336
Cochin,9.959999722412531,76.23000021245127,0.2992210014546691,0.08738479026011982,0.8365185958627994,0.19330289585739446,0.4021212093621033,Near Disorder,0.5,0.5,100000,-0.4867601754596385,1.8851490128173414,28.117574647402396,1.2066536763092013,97.1921545606662,0.613840637205992,0.01942436243644796,0.037544822701314796,0.3121246896889908,806.0038745290179,0.009858099755837593,0.6784710505012196,26.794413776216487,806.0175200627423
Madras,13.100000584025945,80.30000010797347,0.38495682174628926,0.15142731345318775,0.9002480518309489,0.2681920675997385,0.49136482004024135,Near Disorder,0.5,0.5,100000,-741.512503386677,1.84585644214951,26.74980842196239,0.6144950607053397,95.24407149627194,0.1487983144216562,0.047843265529427165,0.34297343705251027,0.36022326025023516,1085.853125737099,0.04089311336820592,1.4802418334824647,20.582808056992697,1085.9159843738314
Calcutta,22.549999541652706,88.30999926690569,0.3198042821679937,0.1710558074438543,0.9529789817050275,0.245430044805924,0.48362141617071586,Near Disorder,0.5,0.5,100000,9.855138905490827,0.08477453477071605,1.2749170723588035,1.3039877658804284,79.60535372128864,0.2823895818028972,0.003380263571801467,0.5230427928112255,0.11576996410177376,1549.4773032318808,0.021133995722828303,1.8684145103813663,18.743021899059908,1549.5004903515883
Phuket,7.829998626707771,98.39999962143038,0.1599854503477736,0.08020973842969753,0.9432340832558903,0.12009759438873556,0.3365711579213179,Mild Disorder,0.5,0.5,100000,-60.21586613668926,0.8027155961630665,11.978124409387416,0.5611013011856286,99.31318078656743,0.2849142899142397,0.0027981478202476918,2.9817287679196046E-4,0.6768971980101761,185.85977292660903,0.005026342780207334,0.5750683471478016,96.09733629854753,185.87478633953833
Pulau Pinang,5.4099998939921585,100.3500001849107,0.2657453680939122,0.12648985096704987,0.9348546682987149,0.19611760953048102,0.4281839123614463,Near Disorder,0.5,0.5,100000,77.8377522693272,1.5379333531454373,23.007359828138622,1.1600219082665721,98.25370509733088,0.48523123535817464,0.010559553803559442,0.0627135848010319,0.39691295070702676,277.9088713656117,0.02451026484876978,1.4263743506181779,99.05670171575571,277.9487091108917
Belawan,3.7799977994102845,98.6799999538794,0.2973361472215683,0.14178406695949333,0.9351561527259745,0.2195601070905308,0.45312579383531426,Near Disorder,0.5,0.5,100000,215.72020641301708,1.7057431795197349,25.50700379571544,1.359502642195858,98.54780285911193,0.5729760368454685,0.021814776225353952,0.04894886028020485,0.3182252341682817,384.0517623105001,0.01854402336676639,0.8868011713911639,140.8212701348444,384.07871689882535
Semarang,-6.94999949291128,110.40999970754781,0.31296480804239496,0.15393917532518755,0.9402097420942671,0.23345199168379127,0.4685016935854239,Near Disorder,0.5,0.5,100000,201.88454408415444,1.6050607578585372,23.66756914223439,1.2169604992358438,98.03941458547318,0.4620549128909663,0.010332101036432378,0.18301276400306582,0.2846194966133059,985.1227173259227,0.056213198010970654,1.4547333087626506,12.017860853063938,985.1992807993379
Kupang,-10.159999322861687,123.57999925991075,0.3057337599192136,0.07933137553471103,0.8088909713426321,0.1925325677269623,0.39463635884666487,Mild Disorder,0.5,0.5,100000,-1334.7647434786493,2.794886007056343,39.94471094734855,-0.04919033505430204,98.8035340898259,0.16948084022074578,0.04883428796286233,0.006741798739421223,0.766031515845291,191.73695013851696,0.004561033228812522,0.2771670330234099,105.35115149464727,191.75540980348077
Kuching,1.5599986671438264,110.34999804377263,0.26468296826928067,0.10711257333247792,0.9057514598080256,0.1858977708008793,0.4103378818461125,Near Disorder,0.5,0.5,100000,66.5868061273886,1.3551926573892608,20.57984673999762,2.069262796644161,98.09698013865176,0.6684509742287109,0.009131241242955786,7.459805907551941E-5,0.3017813285153713,67.08015797908642,0.005445658312512917,0.42696498775489516,157.62624179769526,67.08782464471236
Miri,4.3800010598588015,113.9600015337224,0.20583104735055988,0.11483424876151332,0.9588908911205635,0.1603326480560366,0.3920988596899672,Mild Disorder,0.5,0.5,100000,-42.92906711433787,0.6966068817297631,10.415443500488,1.306929091016121,99.32913546038682,0.6334040001320416,0.010816788377390045,4.67647932629355E-5,0.35058831943838226,32.53654258185938,0.003460594701457227,0.28021771927783556,182.45166312994692,32.541770645332114
Kota Kinabalu,5.979997863452038,116.0600017975396,0.34496941670530373,0.11148186533789253,0.8592666870165592,0.22822564102159815,0.44283935061471125,Near Disorder,0.5,0.5,100000,245.58574005192565,2.8327917539323058,41.96973847804482,1.2951238318317726,99.46078141953272,0.5578963651543463,0.01864906770564147,0.003760259936461582,0.40767333012870316,103.69422365887077,0.004092047577914075,0.39753045646689583,163.85409250596422,103.70095580903363
Pelabuhan Sandakan,5.829998163115172,118.11000216124447,0.2038948563486737,0.10940955056868559,0.9534419224825187,0.15665220345867964,0.3864696340293325,Mild Disorder,0.5,0.5,100000,12.535708871580024,0.7133454136409746,10.78762260996838,1.5782193869260832,99.3082973713487,0.5139104741111828,0.011907414552296281,6.483930892136698E-4,0.4091316229941468,50.525399468731415,9.896526098524434E-4,0.29509376581642865,175.11220167620712,50.526937782828725
